Provience,District,Local Body,Ward No,Post,Candidate,Party
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,काजी लाल श्रेष्‍ठ,नेपाल कम्युनिष्ट पार्टी (समाजवादी)
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,बाबुराजा संगत,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,प्रणेश बहादुर मल्ल,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,निश्चल जोशी,नेपाली जनता दल
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,प्रेमसागर कर्माचार्य,उन्‍नत लोकतन्त्र पार्टी
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,महेन्द्र प्रजापती,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,मनिस श्रेष्ठ,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,सैलेश ढुंगाना,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,राहुल मानान्धर,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,उमेश कुमार सिंह,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,इन्द्र मणि कपाली,स्वतन्त्र
बागमती प्रदेश,काठमाडौं,काठमाण्डौ महानगरपालिका,,प्रमुख,रजित मान शाक्य,स्वतन्त्र
